"","지번주소","lon","lat","아파트"
"222","충청남도 천안시 두정동 1898",127.13056,36.836335,"대주파크빌(102동)"
"223","충청남도 천안시 두정동 1418",127.143587,36.830097,"해피드림4차"
"224","충청남도 천안시 성환읍 매주리 425-11",127.129547,36.909585,"혜성"
"225","충청남도 천안시 성거읍 신월리 467",127.148814,36.872961,"직산역꿈에그린"
"226","충청남도 천안시 성정동 1562",127.149382,36.817765,"천안역우방아이유쉘"
"227","충청남도 천안시 두정동 1417",127.143614,36.830314,"해피드림3차"
"228","충청남도 천안시 성정동 313-23",127.143646,36.81823,"우영"
"229","충청남도 천안시 성정동 122-2",127.14651,36.814197,"한도"
"230","충청남도 천안시 백석동 868",127.125354,36.822157,"천안베스트빌2차"
"231","충청남도 천안시 백석동 870",127.125276,36.821815,"천안베스트빌3차"
"232","충청남도 천안시 성환읍 성환리 356-19",127.130391,36.91643,"조양"
"233","충청남도 천안시 두정동 1283",127.138837,36.832835,"프라지움"
"234","충청남도 천안시 불당동 1510",127.10232,36.818176,"호반 베르디움 센트로 포레"
"235","충청남도 천안시 성거읍 저리 65-2",127.200366,36.881743,"쁘띠노블레스"
"236","충청남도 천안시 두정동 401-1",127.156748,36.837163,"e편한세상두정4차"
"237","충청남도 천안시 불당동 713",127.109156,36.810506,"이노스위트"
"238","충청남도 천안시 성환읍 성환리 449-106",127.128658,36.915076,"만경근생(449-106)"
"239","충청남도 천안시 성환읍 매주리 370-21",127.121107,36.904687,"개나리"
"240","충청남도 천안시 직산읍 삼은리 575",127.1494,36.881279,"한양수자인비다펠리즈"
"241","충청남도 천안시 성정동 1324",127.142171,36.829465,"모아엘가워너비"
"242","충청남도 천안시 성정동 698-1",127.138473,36.817701,"대우성촌프라자"
"243","충청남도 천안시 두정동 1409",127.143103,36.83013,"두정래미안"
"244","충청남도 천안시 직산읍 삼은리 584",127.148118,36.882178,"직산한양수자인아이림아파트"
"245","충청남도 천안시 성정동 1435",127.14174,36.825884,"프라지움11차아파트"
"246","충청남도 천안시 두정동 1475",127.142999,36.832426,"라사리아"
"247","충청남도 천안시 직산읍 삼은리 76-67",127.148034,36.878958,"브리엔츠아파트"
"248","충청남도 천안시 성정동 1357",127.141789,36.828083,"엔젤팰리스"
"249","충청남도 천안시 두정동 1413",127.143542,36.830845,"첼시빌"
"250","충청남도 천안시 불당동 687",127.111459,36.811707,"불당오딧세이"
"251","충청남도 천안시 성환읍 성월리 111-13",127.134556,36.915095,"성환부자마을"
"252","충청남도 천안시 성정동 1289",127.138622,36.828593,"골든브릿지"
"253","충청남도 천안시 두정동 1416-1",127.143575,36.830687,"리첸스"
"254","충청남도 천안시 성정동 1453",127.141321,36.826887,"스위스캐슬"
"255","충청남도 천안시 불당동 1466",127.106062,36.822964,"천안불당금호어울림"
"256","충청남도 천안시 두정동 2078",127.143312,36.833441,"두정역효성해링턴플레이스"
"257","충청남도 천안시 직산읍 삼은리 300",127.151227,36.878098,"아람타워"
"258","충청남도 천안시 성성동 969",127.127101,36.840478,"천안레이크타운3차푸르지오"
"259","충청남도 천안시 와촌동 100-2",127.143781,36.806342,"천안신성미소시티"
"260","충청남도 천안시 성정동 948",127.134232,36.819384,"영웅파크빌"
"261","충청남도 천안시 직산읍 삼은리 591",127.153701,36.883068,"직산월드메르디앙레이크파크"
"262","충청남도 천안시 입장면 하장리 4-1",127.226793,36.913842,"아스트레아파트"
"263","충청남도 천안시 와촌동 186",127.144216,36.808745,"천안역사동아라이크텐"
"264","충청남도 천안시 성정동 642-3",127.143007,36.824113,"지정마을"
"265","충청남도 천안시 성정동 628-11",127.141653,36.824146,"건일(628-11)"
"266","충청남도 천안시 성정동 696-1",127.140392,36.817802,"경성훼미리"
"267","충청남도 천안시 불당동 1515",127.105653,36.817529,"엘에이치천년나무7단지"
"268","충청남도 천안시 직산읍 삼은리 69-18",127.156531,36.879458,"신광"
"269","충청남도 천안시 두정동 2068",127.143312,36.833441,"한화포레나천안두정"
"270","충청남도 천안시 성거읍 송남리 585",127.198546,36.86687,"북천안자이포레스트"
"271","충청남도 천안시 문화동 81-1",127.150229,36.809511,"류진시티"
"272","충청남도 천안시 문화동 63-9",127.150485,36.808776,"거송그랑데리움"
"273","충청남도 천안시 영성동 154-12",127.15163,36.796733,"금성2"
"274","충청남도 천안시 원성동 539-1",127.160888,36.802606,"영웅"
"275","충청남도 천안시 원성동 559-15",127.158653,36.802571,"극동"
"276","충청남도 천안시 구성동 525",127.155971,36.796726,"구성휴먼시아"
"277","충청남도 천안시 구성동 259",127.163806,36.792801,"신성천안미소지움"
"278","충청남도 천안시 구성동 293-21",127.16183,36.793802,"쌍용"
"279","충청남도 천안시 청수동 219-4",127.153905,36.797396,"현대"
"280","충청남도 천안시 청수동 183",127.153116,36.790453,"극동2차"
"281","충청남도 천안시 청수동 261",127.157702,36.791899,"청솔엘지에스케이"
"282","충청남도 천안시 청수동 209",127.155276,36.791452,"극동1차"
"283","충청남도 천안시 청당동 466",127.147546,36.785887,"청수 포레나(FORENA)"
"284","충청남도 천안시 청당동 456",127.147772,36.78368,"우미린"
"285","충청남도 천안시 청당동 440",127.156024,36.779111,"청당마을벽산블루밍"
"286","충청남도 천안시 청당동 458",127.150727,36.783233,"한양수자인"
"287","충청남도 천안시 청당동 606",127.158475,36.787228,"중흥S클래스산운마을"
"288","충청남도 천안시 청당동 436",127.141438,36.778668,"청당마을신도브래뉴"
"289","충청남도 천안시 봉명동 213-1",127.134197,36.805563,"성지"
"290","충청남도 천안시 봉명동 494",127.132522,36.810997,"봉명청솔(3차)"
"291","충청남도 천안시 봉명동 204-9",127.134417,36.810638,"대우목화(5차)"
"292","충청남도 천안시 봉명동 9",127.141468,36.805039,"우영"
"293","충청남도 천안시 봉명동 57-4",127.138801,36.806486,"두경"
"294","충청남도 천안시 다가동 578",127.140039,36.7972,"일봉산해피트리"
"295","충청남도 천안시 다가동 381-1",127.14038,36.800417,"활림3차크로바"
"296","충청남도 천안시 다가동 30",127.148906,36.792392,"주공4단지"
"297","충청남도 천안시 다가동 26-1",127.148639,36.794619,"웰스빌"
"298","충청남도 천안시 다가동 440-10",127.13624,36.797279,"신성"
"299","충청남도 천안시 다가동 27-2",127.150541,36.793951,"아트빌"
"300","충청남도 천안시 다가동 526",127.145148,36.80239,"서해그랑블"
"301","충청남도 천안시 다가동 444-3",127.137765,36.797268,"일봉공원한화꿈에그린"
"302","충청남도 천안시 용곡동 596",127.133585,36.787652,"용곡한라비발디"
"303","충청남도 천안시 용곡동 595",127.139972,36.792759,"용곡동우림필유"
"304","충청남도 천안시 용곡동 575",127.137205,36.79211,"용곡마을동일하이빌(1단지)"
"305","충청남도 천안시 용곡동 583",127.138152,36.780905,"용곡마을세광2차엔리치타워"
